group,Canais | Globo Sudeste
ext,NATUREZA,https://r.mjh.nz/PlutoTV/5f1213ba0ecebc00070e170f-alt.m3u8
ext,ANIMAIS,https://r.mjh.nz/PlutoTV/6474aa984cfc2c0008883a92-alt.m3u8
LoveNature.eu,LOVE NATURE,https://amg00090-blueantllc-lovenature-xumo-7ap4k.amagi.tv/playlist.m3u8
ext,NATIVA TV,https://stmv1.srvif.com/nativatv/nativatv/playlist.m3u8
ext,AMAZONIA TV E RADIO,https://cdn.jmvstream.com/w/AVJ-13076/playlist/chunklist.m3u8
ext,PET LOVERS TV,https://video04.logicahost.com.br/petloverstv/petloverstv/playlist.m3u8
ext,RECEITAS FAST,https://dl27mmj7tlts0.cloudfront.net/index.m3u8
ext,TASTEMADE,https://tastemadept16intl-xumobrazil.amagi.tv/playlist.m3u8
ext,TASTEMADE,https://tastemade-pt16intl-samsungbrazil.amagi.tv/playlist.m3u8
ext,KFOOD,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/633ee9ba83c08f00076b60a6/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,MASTERCHEF,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00627-banijaygroup-masterchef-lgbr/playlist.m3u8
ext,MASTERCHEF,https://cc-cts4xd2rn8b9n.akamaized.net/playlist.m3u8
Panico.mx,PANICO,https://r.mjh.nz/PlutoTV/602e80c762306a0007179876-alt.m3u8
ext,PANICO NA BAND,http://ddsw.xyz:80/8590438094/9912004092/968616
ext,PORTA DOS FUNDOS,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5f36f2346ede750007332d11/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,COMEDIA,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5f357e91b18f0b00073583d2/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,CANAL DA PRACA,https://fast.sbtvideosonline.com/v1/manifest/215c0da80606fed29372070168106400a6ca7e1a/CanalDaPraca/8f4dbd2a-75c8-4407-8dc8-0dc243e3814d/4.m3u8
ext,TRATAMENTO DE CHOQUE,https://cdn-ue1-prod.tsv2.amagi.tv/linear/amg00353-lionsgatestudio-mvsphrecomedia-samsungbr/playlist.m3u8
ext,ESTILO DE VIDA,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/60f8841a4865da0007421177/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,DOCUMENTARIOS,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5f1ef1a8cec6be00072a7ac9/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,INVESTIGACAO,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5f32cf37c9ff2b00082adbc8/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,OS ARQUIVOS DO FBI,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/620d12a82e8ac50007c269c3/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,DETETIVES MEDICOS,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/638df93ae2f2a3000737c168/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,MISTERIOS SEM SOLUCAO,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/62b5c5a064163d0007b2efe6/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,ASSOMBRACOES,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/620d1512c7986a0007220213/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,NEGOCIO FECHADO,https://r.mjh.nz/PlutoTV/64ad7394798def00087b2bfe-alt.m3u8
FashionTV.nws,FASHION TV,https://fashiontv-fashiontv-5-br.samsung.wurl.tv/playlist.m3u8
ext,ANIME TV,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8
ext,ANIME,https://r.mjh.nz/PlutoTV/5f12136385bccc00070142ed-alt.m3u8
ext,ANIME ACAO,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/604b79c558393100078faeef/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,NARUTO,https://r.mjh.nz/PlutoTV/5f6df5a173d7340007c559f7-alt.m3u8
ext,NARUTO SHIPPUDEN,https://r.mjh.nz/PlutoTV/64c92f965580090008084968-alt.m3u8
ext,BORUTO NARUTO NEXT GENERATION,https://r.mjh.nz/PlutoTV/656f389c3944b60008e5bdab-alt.m3u8
ext,TOKUSATO,https://r.mjh.nz/PlutoTV/5ff609de50ab210008025c1b-alt.m3u8
ext,DEATH NOTE,https://r.mjh.nz/PlutoTV/625464a945b6a200079257d1-alt.m3u8
ext,ONE PIECE,https://r.mjh.nz/PlutoTV/624b1c8d4321e200073ee421-alt.m3u8
ext,BEYBLADE,https://r.mjh.nz/PlutoTV/633dc392e0282400071b0d39-alt.m3u8
ext,SUPER ONZE,https://r.mjh.nz/PlutoTV/63988c2750108d00072e2686-alt.m3u8
ext,YU-GI-OH,https://r.mjh.nz/PlutoTV/63988a50be012600070f5db3-alt.m3u8
ext,CAPTAIN TSUBASA,https://r.mjh.nz/PlutoTV/646663b01593940008990a57-alt.m3u8
ext,GEEK E TECK,https://r.mjh.nz/PlutoTV/605cc4de7ff3c50007be0f65-alt.m3u8
ext,GAMING FOR UBISOFT,https://ov.ottera.tv/channels/medialive_ubl_ut/master1400000.m3u8;session=medialive_ubl_ut
ext,GEEK DOT,https://stream.ichibantv.com:3764/hybrid/play.m3u8
ext,WORDING TV,https://tv02.zas.media:1936/wordingtv/wordingtv/playlist.m3u8
ext,OTAKU SIGN TV,https://stmv1.srvif.com/otaku/otaku/chunklist_w776677652.m3u8
ext,CANAL START,https://stmv1.srvif.com/canalstart/canalstart/playlist.m3u8
ext,LOADING TV,https://stmv1.srvif.com/loadingtv/loadingtv/playlist.m3u8
ext,ULB TV,https://stmv1.paineltv.net/ulbtv/ulbtv/chunklist_w1050568292.m3u8
ext,REDE CLOUDING,https://stmv1.paineltv.net/redeclonetv/redeclonetv/playlist.m3u8
Playtv.br,PLAY TV,https://isaocorp.cloudecast.com/playtv/tracks-v1/index.fmp4.m3u8
ext,CLUBE DO TERROR,https://r.mjh.nz/PlutoTV/64e501eec630a900088ed0f8-alt.m3u8
ext,FILMRISE SERIES GRATUITAS,https://d2gjhy8g9ziabr.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-samsungtvplus-stitched/samsungtvplus_br_filmrisefreeseries_002.m3u8
ext,URBAN SERIES,http://200.194.238.229:8383/live/urbanseries/playlist.m3u8
ext,CHAVES,http://168.205.87.198:8555/live/1492/123456/159.m3u8
ext,INFERNO SOBRE RODAS,https://r.mjh.nz/PlutoTV/64ff2c773efb5100082efb73-alt.m3u8
ext,SERIES CLASSIC,https://srv6.zcast.com.br/adriano8425/adriano8425/chunklist_w1423268919.m3u8
ext,CLASSIQUE TV SERIES,https://stmv1.srvif.com/tvserie/tvserie/playlist.m3u8
ext,SERIES,https://r.mjh.nz/PlutoTV/5f121262a189a800076b9386-alt.m3u8
ext,SERIES ACAO,https://r.mjh.nz/PlutoTV/6474ab1da51cb80008bfb5f4-alt.m3u8
ext,SERIES SCI FI,https://r.mjh.nz/PlutoTV/63d2ba2f60bc8f0008981a0e-alt.m3u8
ext,OS TRES PATETAS,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5f1eed3c29b39600073e2ec0/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,JEANNIE E UM GENIO,https://r.mjh.nz/PlutoTV/6079c058aa05ac0007d10054-alt.m3u8
ext,A FEITICEIRA,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/631fa8dd7f25240007099a40/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,AS PANTERAS,https://r.mjh.nz/PlutoTV/648776bf536e0c0008b49aef-alt.m3u8
ext,O HOMEM QUE VEIO DO CEU,https://r.mjh.nz/PlutoTV/62052d3b4eeb740007fbe125-alt.m3u8
retro,RETRO,https://r.mjh.nz/PlutoTV/5f1212ad1728050007a523b8-alt.m3u8
ext,MACGYVER,https://r.mjh.nz/PlutoTV/63eb9dc84e83e70008abea92-alt.m3u8
ext,LOUCO POR VOCE,https://r.mjh.nz/PlutoTV/64877764dc7a760008a12799-alt.m3u8
ext,ARNOLD,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/61f1d27a189ed10007b7393e/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,KENAN E KEL,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5ffcc5130fd98c0007f2e216/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,ICARLY,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/620ff46e0a576e0007dc2f89/master.m3u8?deviceType=samsung-tvplus&deviceMake=samsung&deviceModel=samsung&deviceVersion=unknown&appVersion=unknown&deviceLat=0&deviceLon=0&deviceDNT=%7BTARGETOPT%7D&deviceId=%7BPSID%7D&advertisingId=%7BPSID%7D&us_privacy=1YNY&samsung_app_domain=%7BAPP_DOMAIN%7D&samsung_app_name=%7BAPP_NAME%7D&profileLimit=&profileFloor=&embedPartner=samsung-tvplus
ext,SONY ONE EMOCOES,https://spt-sonyoneemocoes-1-br.samsung.wurl.tv/playlist.m3u8
ext,SONY ONE SHARK TANK,https://spt-sonyonesharktankbrasil-1-br.samsung.wurl.tv/playlist.m3u8
ext,AMIGOS E HERMANOS,https://stream.ads.ottera.tv/playlist.m3u8?network_id=3491
ext,CSI MIAMI,https://r.mjh.nz/PlutoTV/63eb9c5351f5d000085e8d7e-alt.m3u8
ext,NCIS,https://r.mjh.nz/PlutoTV/63eb9fdda995710008991c54-alt.m3u8
ext,SPACE TV,https://stmv1.srvif.com/2022/2022/playlist.m3u8
VintageTV.uk,VINTAGE TV,https://video01.kshost.com.br:4443/rogerio7271/rogerio7271/chunklist_w977108420.m3u8
ext,TV DIFUSAO,https://59f1cbe63db89.streamlock.net:1443/canalvirtual09/_definst_/canalvirtual09/playlist.m3u8
ext,MUNDO TV,https://5cf4a2c2512a2.streamlock.net/mundotv/mundotv/chunklist_w1165091078.m3u8
ext,OLHA TV,https://5cf4a2c2512a2.streamlock.net/8272/8272/playlist.m3u8
ext,TV VITORIA PE,https://5a0c3936c25c8.streamlock.net/tvvitoriape/tvvitoriape/playlist.m3u8
ext,PIX TV,https://mpix05.tmwpix.com:6516/pix/pixtv_hi.m3u8
ext,MASPER TV,https://br5093.streamingdevideo.com.br/ujtxpjgkyn/ujtxpjgkyn/playlist.m3u8?fbclid=PAAaYr_-434Tt5riS_uX4YIhuq-0U_FJzYhLGcKfogmmniThf9xIArJ676Xkw
ext,TV VALE PLAY,https://cdn.jmvstream.com/w/LVW-12702/LVW12702_4w34UJPZz7/chunklist.m3u8
ext,PORTAL H,https://stmv1.srvif.com/grupohentretenimento/grupohentretenimento/chunklist_w490760853.m3u8
ext,IMG TV,https://cdn.live.br1.jmvstream.com/w/AVJ-15526/playlist/playlist.m3u8
ext,TV NOVA PLAY,https://srv4.zcast.com.br/tvnovaplay/tvnovaplay/playlist.m3u8
ext,BRASIL TV,https://5cf4a2c2512a2.streamlock.net:443/mundotv/mundotv/playlist.m3u8
ext,BR GLOBAL STATION,http://brglobalstation.duckdns.org:8080/hls/brglobalstation.m3u8
ext,TV CARIOCA NET,https://a.cdni.live/tvcarioca/tvcarioca/chunklist_w636251259.m3u8
ext,TV NA ATIVA,https://cdn.jmvstream.com/w/AVJ-13072/playlist/chunklist.m3u8
ext,TV SANTA,https://br5093.streamingdevideo.com.br/tvtabela/tvtabela/chunklist_w1023271820.m3u8
ext,WEB TV ENTORNO SUL,https://video01.kshost.com.br:4443/manoel2072/manoel2072/playlist.m3u8
ext,TV GRANDE REDE,https://cdn-ronaldo-8623-1.ciclano.io:1443/ronaldo-8623-1/ronaldo-8623-1/playlist.m3u8
ext,TV RIO PRETO,https://video02.logicahost.com.br/tvriopreto/tvriopreto/playlist.m3u8
ext,ORIUNDI TV,https://stmv5.samcast.com.br/oriunditv/oriunditv/playlist.m3u8
ext,TV J SID,https://video05.logicahost.com.br/tvjsid/tvjsid/chunklist_w25182327.m3u8
ext,TV VARGEM,https://video01.kshost.com.br:4443/marilia2344/marilia2344/chunklist_w697047438.m3u8
ext,TV METROPOLITANA RIO,https://stmv1.srvstm.com/luis5346/luis5346/playlist.m3u8
ext,CANAL TV RIO,https://cdn.jmvstream.com/w/AVJ-15127/playlist/playlist.m3u8
ext,IMPERIAL TV,https://acesso.ecast.site:3630/live/imperiallive.m3u8
ext,REDE PREMIUM TV,https://5c483b9d1019c.streamlock.net/8066/8066/playlist.m3u8
ext,TV EM FOCO DOS VALES,https://5ad482a77183d.streamlock.net/pedroavilacampegmail.com/pedroavilacampegmail.com/playlist.m3u8
ext,TRES PASSOS TV,https://stmv1.samcast.com.br/pedrohenrique6191/pedrohenrique6191/playlist.m3u8
ext,TV GRAMADO NET,https://isaocorp.cloudecast.com/tvgramado/index.m3u8
ext,POOP TV,https://stream.ichibantv.com:3522/hybrid/play.m3u8
ext,WEB TV XTREME,https://stmv1.srvif.com/xtremetv/xtremetv/chunklist_w2064249760.m3u8
ext,TV PONTA DA SERRA,https://stmv5.samcast.com.br/luciano2275/luciano2275/playlist.m3u8
ext,TV GENIALL,https://redetvgeniall.online/live/TVGeniall_360p/playlist.m3u8
ext,TV POTENGI,https://stmv1.samcast.com.br/jeova3318/jeova3318/chunklist_w1668713230.m3u8
ext,GLN TV,https://stmv1.paineltv.net/glnfilmes/glnfilmes/playlist.m3u8?ManoTV
ext,TV CLASSICOS,https://rpn3.bozztv.com/ssh101/ssh101/nostalgia/chunks.m3u8
ext,CANAL 29,https://stmv1.srvif.com/canal29/canal29/playlist.m3u8
ext,TV CIDADE HD,https://stmv3.voxtvhd.com.br/tvmancheteweb/tvmancheteweb/chunklist_w1814621371.m3u8
ext,TV RABELO,https://cdn.jmvstream.com/w/AVJ-13010/playlist/chunklist.m3u8
ext,X PLUS TV,https://srv4.zcast.com.br/telavivatv/telavivatv/playlist.m3u8
ext,ISTV,https://stmv1.srvstm.com/sistema7933/sistema7933/chunklist.m3u8
ext,TV JAPI,https://stmv1.paineltv.net/tvjapi/tvjapi/playlist.m3u8
ext,TV SONATA,https://video01.kshost.com.br:4443/tiago2001/tiago2001/chunklist_w35338165.m3u8
ext,BS TV,https://br5093.streamingdevideo.com.br/bstv/bstv/chunklist_w1736823671.m3u8
ext,ADESSO TV,https://cdn.jmvstream.com/w/LVW-9715/LVW9715_12B26T62tm/playlist.m3u8
ext,TV BRASIL HITS,https://video01.logicahost.com.br/brasilhits/brasilhits/playlist.m3u8
ext,WISE PLAY TV,https://acesso.ecast.site:3142/hybrid/play.m3u8
ext,MEGHA WEB TV,https://stmv1.srvif.com/redemegha/redemegha/chunklist_w854764419.m3u8
ext,TV MARCHETI,https://stmv1.samcast.com.br/junior4319/junior4319/chunklist_w859794043.m3u8
ext,TV ESTACAO,https://5d82644094cc0.streamlock.net/estacao104tv/estacao104tv/playlist.m3u8
ext,TV MAIS BRASIL,https://stmv1.paineltv.net/tvmaisbrasil/tvmaisbrasil/playlist.m3u8
ext,LAGOA TV,https://cdn-lagoafm.ciclano.io:1443/lagoafm/lagoafm/chunklist_w1139008534.m3u8
ext,TV MON HD,https://srv1.zcast.com.br/tvmon/tvmon/playlist.m3u8
ext,GRU WEB TV,https://stmv7.samcast.com.br/rogerio1505/rogerio1505/chunklist_w975613525.m3u8
ext,SEVEN TV,https://video01.kshost.com.br:4443/aubrey3291/aubrey3291/chunklist_w1980160673.m3u8
ext,CARAVANA PLAY,https://srv4.zcast.com.br/keynni2406/keynni2406/chunklist_w1168168565.m3u8
ext,LUCAS TV,https://stmv6.voxtvhd.com.br/lucastv/lucastv/playlist.m3u8
ext,TV METROPOLE NEWS,https://video01.logicahost.com.br/redebemtv/redebemtv/chunklist_w1021370721.m3u8
ext,REDE NEWS WEB TV,https://stmv.jnbhost.com.br/redenewstv/redenewstv/chunklist_w1894004897.m3u8
ext,YPE TV,https://video01.logicahost.com.br/ypetv/ypetv/chunklist_w1736853376.m3u8
ext,TV AGORA,https://video05.logicahost.com.br/eveontv/eveontv/playlist.m3u8
ext,TV SERRA BRANCA,https://stmv3.voxtvhd.com.br/tvmancheteweb/tvmancheteweb/chunklist.m3u8
ext,WEB TV MATO GROSSO NEWS,https://video02.logicahost.com.br/matogrossonews/matogrossonews/chunklist.m3u8
ext,TV PRINCESA DO VALE,https://stmv.jnbhost.com.br/tvprincesadovale/tvprincesadovale/playlist.m3u8
ext,OPORTUNIDADES TV,https://maistop.net/live/webtv/webtv/2.m3u8
ext,TV CIDADE CATANDUVA,https://br5093.streamingdevideo.com.br/tjxyctjwzw/tjxyctjwzw/chunklist_w820682989.m3u8
ext,TV SERRA,https://cdn.live.br1.jmvstream.com/w/AVJ-16090/playlist/chunklist.m3u8
ext,TVC POTIRAGUA,https://stmv1.voxtvhd.com.br/canaltvc/canaltvc/chunklist_w103418.m3u8
ext,TV MAIS,https://srv1.saragosonet.com.br/play/hls/tvmais/0_1/index.m3u8?tkn=4082087432
ext,TV REGIONAL PAULISTA,https://stmv1.voxtvhd.com.br/4430/4430/playlist.m3u8
ext,TV CEI,https://stmv7.samcast.com.br/eduardo6272/eduardo6272/playlist.m3u8
ext,MJR TV,https://stmv1.samcast.com.br/migueljunior2043/migueljunior2043/playlist.m3u8
ext,CARAVELAS TV,https://stmv1.srvif.com/adeildsontv/adeildsontv/playlist.m3u8
ext,ASTRAL TV,https://isaocorp.cloudecast.com/astraltv/index.m3u8
ext,CANAL SMART,https://5ffab78b24f94.streamlock.net/smart/smart/playlist.m3u8
ext,TV BOQUEIRAO,https://srv3.zcast.com.br/tvboqueirao/tvboqueirao/chunklist_w362097750.m3u8
ext,TV NOVA MT,https://video05.logicahost.com.br/tvnovaweb1/tvnovaweb1/chunklist_w599042749.m3u8
ext,BR8 TV,https://cdn.live.br1.jmvstream.com/w/LVW-11668/ngrp:LVW11668_wiJpjbMrks_all/chunklist_b2628000.m3u8
ext,TV OPCAO,https://stmv1.paineltv.net/wladimyr7277/wladimyr7277/playlist.m3u8
ext,TV LIBERDADE,https://srv1.paineldevideo.com/liberdaderadioetv/liberdaderadioetv/playlist.m3u8
ext,TV DESTAK,https://video03.logicahost.com.br/pascoal/pascoal/chunklist_w390133259.m3u8
ext,VIA MORENA,https://5ad482a77183d.streamlock.net/cleuzaviamorena.com/cleuzaviamorena.com/playlist.m3u8
ext,TV GALEGA,https://cdn.jmvstream.com/w/LVW-8538/LVW8538_KBtZ9UMIZn/playlist.m3u8
ext,TV OSORIO NEWS,https://stmv1.srvstm.com/demo2573/demo2573/playlist.m3u8
ext,TV DIGITAL BIRIGUI,http://wse01.logicahost.com.br:1935/tvdigitalbirigui/_definst_/tvdigitalbirigui/playlist.m3u8
ext,TV ONDAS DE MARICA,https://stmv5.samcast.com.br/portalondasdemarica/portalondasdemarica/playlist.m3u8
ext,WTJ TV MINAS,https://video02.logicahost.com.br/wtjtvminas/wtjtvminas/chunklist_w1256109034.m3u8
ext,NOVA RIO TV,https://video04.logicahost.com.br/novariotv/novariotv/chunklist_w502523388.m3u8
ext,TENDA TV,https://tv02.zas.media:1936/tendatv/tendatv/chunklist_w326984041.m3u8
ext,TV ERE NEWS,https://stmv1.samcast.com.br/erenews/erenews/playlist.m3u8
ext,TV SAO JOAO NET,http://131.161.22.250:1923/BZmZmZK5y2G2ota2oty/a/BZmZmZK5y2G2ota2oty/1080p/chunks.m3u8
ext,TV CARUARA,https://stmv5.samcast.com.br/severino9163/severino9163/playlist.m3u8
ext,NOVA TV AGROTOUR,https://video01.kshost.com.br:4443/marcelo6682/marcelo6682/playlist.m3u8
ext,MKK WEB TV,https://video01.logicahost.com.br/mkkwebtv/mkkwebtv/playlist.m3u8
ext,TV ARACATI,https://video04.logicahost.com.br/tvaracati/tvaracati/chunklist_w2043179798.m3u8
ext,TV SUL CARIRI,https://5a2b083e9f360.streamlock.net/tsctv/tsctv.sdp/playlist.m3u8
ext,VRT CHANNEL,https://sistemavrt2023.vrtchannel.tv.br:3626/hybrid/play.m3u8
ext,ELEMENTAL CHANNEL,https://5d82644094cc0.streamlock.net:443/8116/8116/playlist.m3u8
ext,TV A FOLHA,https://video01.logicahost.com.br/tvafolha/tvafolha/playlist.m3u8
ext,TV FENIX BAHIA,https://stmv1.srvstm.com/tvfenixbahia/tvfenixbahia/playlist.m3u8
ext,TV CORDEIRO,https://stmv2.voxtvhd.com.br/tvcordeiro/tvcordeiro/chunklist_w277516646.m3u8
ext,TV CURUCA,https://stmv1.srvif.com/tvcurucasp/tvcurucasp/playlist.m3u8
ext,EXTREMO ORIENTAL TV,http://187.95.95.241:7987/soultv/tracks-v3a1/mono.m3u8
ext,TV ERGAOMNES,https://video01.kshost.com.br:4443/erga9862/erga9862/playlist.m3u8
ext,TV PAJEU,https://video05.logicahost.com.br/tvpajeu/tvpajeu/chunklist_w1802744556.m3u8
ext,SOU TV,https://vdo1.audiostream.com.br:3010/live/soutvlive.m3u8
ext,TV MAX,https://59f1cbe63db89.streamlock.net:1443/tvmax/_definst_/tvmax/playlist.m3u8
ext,TV SUL DE MINAS,https://video01.logicahost.com.br/tvsuldeminas/tvsuldeminas/chunklist_w115020163.m3u8
ext,ARCERTE TV,https://stmv1.paineltv.net/arcertetv/arcertetv/playlist.m3u8
ext,TV PLANALTO NORTE,https://video05.logicahost.com.br/tvplanalto/tvplanalto/chunklist_w460655075.m3u8
ext,WEB TV PROGRESSO,https://5a0c3936c25c8.streamlock.net/oprogressotvstation/oprogressotvstation/chunklist_w73777379.m3u8
ext,TV QUE DEMAIS,https://59f1cbe63db89.streamlock.net:1443/tvkidmais/_definst_/tvkidmais/playlist.m3u8
ext,REDE QUE DEMAIS,https://video03.logicahost.com.br/tvkidmais01/tvkidmais01/playlist.m3u8
ext,Q TAL CHANNEL,https://video03.logicahost.com.br/qtalchannel01/qtalchannel01/chunklist_w391290188.m3u8
